date,Open,High,Low,Close,Volume,Ticker
2025-07-10,121.63,126.435,120.94,124.17,2269535.0,A
2025-07-11,122.93,123.66,122.335,123.28,1382971.0,A
2025-07-14,121.84,121.86,119.27,120.08,2028729.0,A
2025-07-15,118.0,119.76,111.93,112.94,3950858.0,A
2025-07-16,113.46,114.46,111.86,113.43,2248845.0,A
2025-07-17,114.1,116.57,113.25,116.36,1552869.0,A
2025-07-18,116.82,117.2,113.53,113.99,1521861.0,A
2025-07-21,113.23,113.66,110.75,112.04,2060791.0,A
2025-07-22,112.85,117.05,112.14,116.19,1692114.0,A
2025-07-23,119.38,120.79,117.48,119.47,1939728.0,A
2025-07-24,119.43,122.75,119.43,120.35,1602812.0,A
2025-07-25,120.5,121.01,119.02,120.18,1972730.0,A
2025-07-28,119.41,120.77,118.72,119.54,1679152.0,A
2025-07-29,119.75,120.505,118.855,119.84,1212204.0,A
2025-07-30,120.24,120.46,117.23,118.05,979111.0,A
2025-07-31,116.57,118.34,114.47,114.81,2339514.0,A
2025-08-01,113.45,114.32,111.19,113.5,1888649.0,A
2025-08-04,113.17,115.03,112.01,114.84,1343207.0,A
2025-08-05,114.81,115.43,114.25,114.89,1271053.0,A
2025-08-06,115.08,115.08,112.56,113.23,1058665.0,A
2025-08-07,114.5,114.92,113.16,113.98,1157465.0,A
2025-08-08,114.31,115.0,113.39,114.62,1129762.0,A
2025-08-11,115.04,115.67,113.73,114.13,1082339.0,A
2025-08-12,114.51,117.37,114.395,117.32,917388.0,A
2025-08-13,118.06,120.395,117.86,120.29,983597.0,A
2025-08-14,119.23,119.405,118.15,118.87,926367.0,A
2025-08-15,119.61,119.96,118.49,119.2,1238471.0,A
2025-08-18,119.12,119.6,118.15,118.15,1021103.0,A
2025-08-19,118.5,120.59,118.145,120.11,1313481.0,A
2025-08-20,119.87,120.46,118.2801,119.11,1431859.0,A
2025-08-21,118.49,118.7,117.03,117.15,744734.0,A
2025-08-22,118.27,122.41,117.465,121.63,1290989.0,A
2025-08-25,121.5,121.685,118.48,119.15,1482531.0,A
2025-08-26,119.23,119.63,118.105,118.3,1898309.0,A
2025-08-27,118.5,119.2,117.51,118.69,1698630.0,A
2025-08-28,118.8,125.4204,118.2,124.96,3886441.0,A
2025-08-29,125.0,126.3,124.11,125.66,1781215.0,A
