date,Open,High,Low,Close,Volume,Ticker
2025-07-10,210.505,213.48,210.03,212.41,44443635.0,AAPL
2025-07-11,210.565,212.13,209.86,211.16,39765812.0,AAPL
2025-07-14,209.925,210.91,207.54,208.62,38840111.0,AAPL
2025-07-15,209.22,211.89,208.92,209.11,42296339.0,AAPL
2025-07-16,210.295,212.4,208.64,210.16,47490532.0,AAPL
2025-07-17,210.57,211.8,209.59,210.02,48068141.0,AAPL
2025-07-18,210.87,211.79,209.7045,211.18,48974591.0,AAPL
2025-07-21,212.1,215.78,211.63,212.48,51377434.0,AAPL
2025-07-22,213.14,214.95,212.2301,214.4,46404072.0,AAPL
2025-07-23,215.0,215.15,212.41,214.15,46989301.0,AAPL
2025-07-24,213.9,215.69,213.53,213.76,46022620.0,AAPL
2025-07-25,214.7,215.24,213.4,213.88,40268781.0,AAPL
2025-07-28,214.03,214.845,213.06,214.05,37858017.0,AAPL
2025-07-29,214.175,214.81,210.82,211.27,51411723.0,AAPL
2025-07-30,211.895,212.39,207.72,209.05,45512514.0,AAPL
2025-07-31,208.49,209.84,207.16,207.57,80698431.0,AAPL
2025-08-01,210.865,213.58,201.5,202.38,104434473.0,AAPL
2025-08-04,204.505,207.88,201.675,203.35,75109298.0,AAPL
2025-08-05,203.4,205.34,202.16,202.92,44155079.0,AAPL
2025-08-06,205.63,215.38,205.59,213.25,108483103.0,AAPL
2025-08-07,218.875,220.85,216.58,220.03,90224834.0,AAPL
2025-08-08,220.83,231.0,219.25,229.35,113853967.0,AAPL
2025-08-11,227.92,229.56,224.76,227.18,61806132.0,AAPL
2025-08-12,228.005,230.8,227.07,229.65,55672301.0,AAPL
2025-08-13,231.07,235.0,230.43,233.33,69878546.0,AAPL
2025-08-14,234.055,235.12,230.85,232.78,51916275.0,AAPL
2025-08-15,234.0,234.28,229.335,231.59,56038657.0,AAPL
2025-08-18,231.7,233.12,230.11,230.89,37476188.0,AAPL
2025-08-19,231.275,232.87,229.35,230.56,39402564.0,AAPL
2025-08-20,229.98,230.47,225.77,226.01,42263865.0,AAPL
2025-08-21,226.27,226.52,223.7804,224.9,30621249.0,AAPL
2025-08-22,226.17,229.09,225.41,227.76,42477811.0,AAPL
2025-08-25,226.48,229.3,226.23,227.16,30983133.0,AAPL
2025-08-26,226.87,229.49,224.69,229.31,54575107.0,AAPL
2025-08-27,228.61,230.9,228.26,230.49,31259513.0,AAPL
2025-08-28,230.82,233.41,229.335,232.56,38074700.0,AAPL
2025-08-29,232.51,233.38,231.37,232.14,39418437.0,AAPL
2025-09-02,229.25,230.85,226.97,229.72,44075638.0,AAPL
2025-09-03,237.21,238.85,234.36,238.47,66061716.0,AAPL
2025-09-04,238.45,239.8999,236.74,239.78,47549429.0,AAPL
2025-09-05,239.995,241.32,238.4901,239.69,54870397.0,AAPL
2025-09-08,239.3,240.15,236.34,237.88,48999495.0,AAPL
2025-09-09,237.0,238.7805,233.36,234.35,66313918.0,AAPL
2025-09-10,232.185,232.42,225.95,226.79,83440810.0,AAPL
2025-09-11,226.875,230.45,226.65,230.03,50208578.0,AAPL
2025-09-12,229.22,234.51,229.02,234.07,55824216.0,AAPL
2025-09-15,237.0,238.19,235.03,236.7,42699524.0,AAPL
2025-09-16,237.175,241.22,236.3235,238.15,63421099.0,AAPL
2025-09-17,238.97,240.1,237.7301,238.99,46508017.0,AAPL
2025-09-18,239.97,241.2,236.65,237.88,44249576.0,AAPL
2025-09-19,241.225,246.3,240.2106,245.5,163741314.0,AAPL
2025-09-22,248.3,256.64,248.12,256.08,105517416.0,AAPL
2025-09-23,255.875,257.34,253.58,254.43,60275187.0,AAPL
2025-09-24,255.22,255.74,251.04,252.31,42303710.0,AAPL
2025-09-25,253.205,257.17,251.712,256.87,55202075.0,AAPL
2025-09-26,254.095,257.6,253.78,255.46,46076258.0,AAPL
2025-09-29,254.56,255.0,253.01,254.43,40127687.0,AAPL
2025-09-30,254.855,255.919,253.11,254.63,37704259.0,AAPL
2025-10-01,255.04,258.79,254.93,255.45,48713940.0,AAPL
2025-10-02,256.575,258.18,254.15,257.13,42630239.0,AAPL
2025-10-03,254.665,259.24,253.95,258.02,49155614.0,AAPL
2025-10-06,257.99,259.07,255.05,256.69,44664118.0,AAPL
2025-10-07,256.805,257.4,255.43,256.48,31955776.0,AAPL
2025-10-08,256.52,258.52,256.11,258.06,36496895.0,AAPL
2025-10-09,257.805,258.0,253.14,254.04,38322012.0,AAPL
2025-10-10,254.94,256.38,244.0,245.27,61999098.0,AAPL
2025-10-13,249.38,249.69,245.56,247.66,38142942.0,AAPL
2025-10-14,246.6,248.845,244.7,247.77,35477986.0,AAPL
2025-10-15,249.485,251.82,247.47,249.34,33893611.0,AAPL
