date,Open,High,Low,Close,Volume,Ticker
2025-07-10,71.755,76.28,71.5,74.27,5719669.0,ALB
2025-07-11,70.3,71.928,70.2154,70.98,4091993.0,ALB
2025-07-14,70.79,73.48,70.23,71.87,2711930.0,ALB
2025-07-15,72.77,72.88,69.89,70.02,4674046.0,ALB
2025-07-16,70.14,71.0,69.08,70.41,2880116.0,ALB
2025-07-17,72.45,76.6633,72.235,75.74,7862008.0,ALB
2025-07-18,77.31,79.62,76.15,77.07,6224422.0,ALB
2025-07-21,79.85,81.1,76.82,77.15,3690761.0,ALB
2025-07-22,78.7,83.565,78.5,83.24,6714200.0,ALB
2025-07-23,81.4,82.1774,77.94,78.79,5139031.0,ALB
2025-07-24,82.505,86.19,81.78,84.18,7765039.0,ALB
2025-07-25,84.67,84.82,82.0,83.74,5379512.0,ALB
2025-07-28,79.0,80.8774,74.185,74.77,10165461.0,ALB
2025-07-29,73.81,74.44,71.0,71.6,6543163.0,ALB
2025-07-30,71.765,71.84,68.44,68.89,4953476.0,ALB
2025-07-31,70.045,70.08,65.2932,67.85,8469121.0,ALB
2025-08-01,66.81,68.57,64.95,67.9,4282556.0,ALB
2025-08-04,68.23,69.31,67.9,68.56,3261255.0,ALB
2025-08-05,69.31,69.45,66.665,68.25,2210070.0,ALB
2025-08-06,68.77,69.15,66.89,67.3,2106179.0,ALB
2025-08-07,69.86,73.84,69.805,70.06,5435424.0,ALB
2025-08-08,72.2,76.8925,71.476,75.48,7616710.0,ALB
2025-08-11,84.765,87.45,79.92,80.76,12471469.0,ALB
2025-08-12,78.24,80.59,75.44,77.98,5415705.0,ALB
2025-08-13,81.1,82.2,79.25,81.67,3990385.0,ALB
2025-08-14,79.99,81.68,79.3601,81.43,3495739.0,ALB
2025-08-15,81.27,82.71,81.1,82.19,2842349.0,ALB
2025-08-18,81.67,84.79,81.67,83.09,4375862.0,ALB
2025-08-19,82.3,83.0,80.31,80.55,3810844.0,ALB
2025-08-20,77.05,79.49,75.88,78.12,3456448.0,ALB
2025-08-21,77.38,79.74,76.884,78.94,2887811.0,ALB
2025-08-22,77.335,82.63,77.15,81.34,2876202.0,ALB
2025-08-25,80.73,82.29,80.03,81.29,2412179.0,ALB
2025-08-26,82.07,83.45,81.01,81.53,2495915.0,ALB
2025-08-27,81.48,87.97,81.4,87.68,5504638.0,ALB
2025-08-28,86.7,86.98,83.72,84.92,3539492.0,ALB
2025-08-29,85.63,87.075,84.63,84.92,1738858.0,ALB
2025-09-02,81.99,82.19,79.1402,79.54,4041594.0,ALB
2025-09-03,79.17,80.85,78.61,80.11,1841453.0,ALB
2025-09-04,79.53,79.745,78.15,79.27,3900531.0,ALB
2025-09-05,82.21,84.89,80.86,81.54,4805519.0,ALB
2025-09-08,82.15,82.66,80.07,82.0,2332692.0,ALB
2025-09-09,75.22,76.0,71.385,72.58,13545169.0,ALB
2025-09-10,73.29,74.73,72.105,73.32,5511299.0,ALB
2025-09-11,71.84,76.14,71.25,75.05,3595608.0,ALB
2025-09-12,74.24,76.34,73.0949,75.98,2508557.0,ALB
2025-09-15,78.09,81.66,77.5,81.04,5011902.0,ALB
2025-09-16,80.77,82.0,79.92,80.94,2255678.0,ALB
2025-09-17,80.89,82.45,78.91,80.16,2616696.0,ALB
2025-09-18,80.95,81.6,79.33,80.93,2218053.0,ALB
2025-09-19,82.1,83.93,81.31,81.84,3672562.0,ALB
2025-09-22,80.44,82.49,79.88,80.38,2537391.0,ALB
2025-09-23,80.86,83.39,79.59,80.12,2249026.0,ALB
2025-09-24,83.5,85.605,81.14,81.58,3532702.0,ALB
2025-09-25,81.71,87.3,80.29,84.83,4456002.0,ALB
2025-09-26,83.91,89.3495,83.4,88.1,4186636.0,ALB
2025-09-29,90.58,91.3099,86.03,86.88,3344095.0,ALB
2025-09-30,85.5,85.564,79.3,81.08,5385642.0,ALB
2025-10-01,81.97,85.58,81.97,84.47,3616433.0,ALB
2025-10-02,85.0,90.094,84.72,87.61,3121684.0,ALB
2025-10-03,87.12,89.1999,85.85,88.22,2570442.0,ALB
2025-10-06,89.6,93.73,88.5,92.03,3402625.0,ALB
2025-10-07,91.9,93.13,89.01,90.53,2238855.0,ALB
2025-10-08,91.955,92.85,89.6901,91.69,2518874.0,ALB
2025-10-09,95.62,99.86,94.4525,96.5,5594888.0,ALB
2025-10-10,95.4,96.16,89.7511,89.86,4302609.0,ALB
2025-10-13,92.03,99.13,92.0,96.34,4161019.0,ALB
2025-10-14,92.65,97.67,91.0,96.24,3624841.0,ALB
2025-10-15,98.04,99.49,95.57,98.16,3313204.0,ALB
2025-10-16,98.54,99.15,94.29,95.29,2606656.0,ALB
2025-10-17,93.43,96.0,91.5,92.74,3547340.0,ALB
2025-10-20,94.0,97.69,94.0,96.14,2927084.0,ALB
2025-10-21,94.5,94.86,90.92,91.34,2486929.0,ALB
2025-10-22,90.8,91.99,88.76,91.27,1984347.0,ALB
2025-10-23,94.5,98.06,93.955,97.36,3455718.0,ALB
2025-10-24,100.17,106.955,99.65,105.64,5109652.0,ALB
2025-10-27,103.77,105.4699,95.69,96.23,4094682.0,ALB
2025-10-28,97.0,97.1499,94.7683,96.68,2509917.0,ALB
2025-10-29,96.8,101.035,96.45,97.8,2278695.0,ALB
2025-10-30,99.0,100.62,96.58,97.89,2366873.0,ALB
2025-10-31,96.9,99.97,96.5,98.23,4022240.0,ALB
2025-11-03,97.54,99.4,95.08,96.53,2737459.0,ALB
2025-11-04,91.71,92.5,88.01,88.45,5264282.0,ALB
2025-11-05,90.39,92.87,89.1,91.96,3314312.0,ALB
2025-11-06,94.0,97.104,91.0,91.26,3772790.0,ALB
2025-11-07,90.17,98.4215,90.01,97.18,4482756.0,ALB
2025-11-10,101.42,104.6,100.0,103.58,3390207.0,ALB
