date,Open,High,Low,Close,Volume,Ticker
2025-07-10,193.79,194.72,192.61,194.68,1379256.0,ALL
2025-07-11,193.83,194.19,192.335,193.33,1049207.0,ALL
2025-07-14,192.57,196.39,192.5,196.2,1287083.0,ALL
2025-07-15,195.11,196.195,191.48,192.43,1964482.0,ALL
2025-07-16,193.79,196.2,193.175,195.62,1448231.0,ALL
2025-07-17,193.26,194.04,189.0975,193.02,2082112.0,ALL
2025-07-18,193.28,194.84,192.905,194.08,1617513.0,ALL
2025-07-21,193.45,195.26,192.73,192.92,1211446.0,ALL
2025-07-22,193.39,197.7,193.25,197.43,1413511.0,ALL
2025-07-23,198.34,198.465,195.9,197.61,1742617.0,ALL
2025-07-24,196.76,196.825,193.84,193.94,1600987.0,ALL
2025-07-25,194.28,196.71,194.28,195.7,1370899.0,ALL
2025-07-28,195.12,195.7299,191.55,192.0,1583578.0,ALL
2025-07-29,193.42,194.545,192.25,193.9,1419156.0,ALL
2025-07-30,195.01,195.01,191.47,192.28,1892153.0,ALL
2025-07-31,197.09,207.085,196.67,203.25,4538291.0,ALL
2025-08-01,202.0,203.18,198.27,199.77,2041494.0,ALL
2025-08-04,201.45,203.33,199.23,203.03,1531370.0,ALL
2025-08-05,203.99,207.2,203.955,205.55,1785600.0,ALL
2025-08-06,206.96,209.835,205.37,209.01,1422239.0,ALL
2025-08-07,209.28,209.864,203.9,205.0,1213367.0,ALL
2025-08-08,205.83,207.64,205.095,206.8,1189406.0,ALL
2025-08-11,207.09,208.29,205.995,206.5,843840.0,ALL
2025-08-12,207.16,207.52,205.145,206.76,1246189.0,ALL
2025-08-13,207.29,209.97,206.74,208.81,975631.0,ALL
2025-08-14,208.65,209.73,207.325,208.7,879334.0,ALL
2025-08-15,209.83,209.83,206.49,206.78,1049493.0,ALL
2025-08-18,206.12,207.8,205.54,207.09,922036.0,ALL
2025-08-19,207.2,210.47,207.2,210.38,1324514.0,ALL
2025-08-20,210.37,214.76,210.3,213.62,1720029.0,ALL
2025-08-21,212.74,212.99,206.43,206.55,1991828.0,ALL
2025-08-22,208.21,209.005,204.94,205.52,1278593.0,ALL
2025-08-25,205.75,205.75,202.01,202.08,1068972.0,ALL
2025-08-26,201.18,203.18,201.18,203.18,1498163.0,ALL
2025-08-27,202.72,204.445,202.6,203.81,859538.0,ALL
2025-08-28,203.15,204.26,202.83,203.76,1016142.0,ALL
2025-08-29,203.35,204.8746,202.975,203.45,993248.0,ALL
2025-09-02,204.32,205.135,202.04,203.34,1100137.0,ALL
2025-09-03,202.18,204.61,201.99,204.57,1056629.0,ALL
2025-09-04,206.2,208.46,205.63,208.33,1214079.0,ALL
2025-09-05,207.94,208.15,200.8,201.53,1405019.0,ALL
2025-09-08,201.04,201.04,198.0001,200.31,1536640.0,ALL
2025-09-09,200.56,201.78,200.01,200.12,1541120.0,ALL
2025-09-10,199.2,200.99,198.58,200.03,1176138.0,ALL
2025-09-11,199.67,202.76,199.67,202.47,1293063.0,ALL
2025-09-12,201.64,202.57,200.25,200.39,1136397.0,ALL
2025-09-15,200.47,201.035,196.69,196.89,1542757.0,ALL
2025-09-16,198.05,198.5499,194.78,196.3,1489183.0,ALL
2025-09-17,196.71,199.12,196.1975,197.25,1628119.0,ALL
2025-09-18,199.0,207.27,198.185,205.68,2215757.0,ALL
2025-09-19,206.38,206.49,203.902,206.04,3162130.0,ALL
2025-09-22,204.23,207.04,204.23,206.46,1821871.0,ALL
2025-09-23,205.66,209.23,205.66,207.73,1241477.0,ALL
2025-09-24,207.25,209.59,207.108,209.41,967946.0,ALL
2025-09-25,209.43,210.6,208.1701,209.82,1227196.0,ALL
2025-09-26,211.98,214.25,211.05,212.76,1156575.0,ALL
2025-09-29,212.95,213.4999,209.99,211.28,1146012.0,ALL
2025-09-30,211.6,215.7,211.6,214.65,1563525.0,ALL
2025-10-01,213.0,214.44,210.65,210.68,1622662.0,ALL
2025-10-02,211.0,211.17,208.645,210.01,1369441.0,ALL
2025-10-03,209.78,211.72,209.33,210.82,962350.0,ALL
2025-10-06,211.0,211.47,208.04,208.83,1102106.0,ALL
2025-10-07,209.99,213.31,208.99,211.79,1276985.0,ALL
2025-10-08,212.87,214.16,211.11,212.35,952673.0,ALL
