date,Open,High,Low,Close,Volume,Ticker
2025-07-10,77.21,79.76,77.05,79.29,1422745.0,ARE
2025-07-11,78.0,80.0,77.75,79.55,1310761.0,ARE
2025-07-14,79.74,80.3585,78.11,78.61,2185266.0,ARE
2025-07-15,79.05,79.66,77.2,77.32,1345282.0,ARE
2025-07-16,77.7,79.2,77.0114,78.15,1297572.0,ARE
2025-07-17,78.16,79.59,78.06,78.89,1602560.0,ARE
2025-07-18,78.83,79.3,77.79,78.17,1471583.0,ARE
2025-07-21,78.89,79.37,77.97,78.27,1204158.0,ARE
2025-07-22,78.71,81.6625,77.9,80.69,2554211.0,ARE
2025-07-23,81.02,83.36,80.53,82.94,3143895.0,ARE
2025-07-24,82.47,83.03,82.005,82.05,1409518.0,ARE
2025-07-25,81.96,82.48,79.0,82.19,1805460.0,ARE
2025-07-28,81.74,81.74,79.12,79.12,1233404.0,ARE
2025-07-29,79.25,79.58,78.66,79.48,1169909.0,ARE
2025-07-30,79.81,80.15,77.47,78.03,1290807.0,ARE
2025-07-31,77.55,78.175,76.23,76.43,2659092.0,ARE
2025-08-01,76.72,77.035,74.71,76.01,1745352.0,ARE
2025-08-04,76.13,77.53,75.66,77.12,1303122.0,ARE
2025-08-05,77.68,78.53,77.01,78.14,1013504.0,ARE
2025-08-06,78.4,78.51,73.64,73.85,2984769.0,ARE
2025-08-07,74.64,75.6,73.51,74.56,2092945.0,ARE
2025-08-08,74.55,75.4349,73.97,74.21,915043.0,ARE
2025-08-11,74.3,74.85,71.64,71.86,1928947.0,ARE
2025-08-12,72.45,73.73,71.55,73.69,1967741.0,ARE
2025-08-13,73.73,75.27,73.1,74.98,1498382.0,ARE
2025-08-14,73.84,74.88,73.01,74.51,1144041.0,ARE
2025-08-15,75.01,76.3,74.5501,76.09,1892711.0,ARE
2025-08-18,76.23,78.16,76.0,77.21,1596165.0,ARE
2025-08-19,77.86,79.35,77.51,78.27,1290755.0,ARE
2025-08-20,78.4,79.23,77.24,77.46,949159.0,ARE
2025-08-21,76.77,77.54,76.51,77.41,716307.0,ARE
2025-08-22,77.8,81.42,77.59,80.93,1139490.0,ARE
2025-08-25,80.68,81.0,79.65,80.42,940090.0,ARE
2025-08-26,80.21,81.375,79.76,80.83,1814290.0,ARE
2025-08-27,81.1,82.51,80.88,81.72,905406.0,ARE
2025-08-28,81.71,82.0538,80.64,81.83,793818.0,ARE
2025-08-29,81.88,82.69,81.565,82.44,890870.0,ARE
2025-09-02,81.39,81.885,80.44,80.91,1226466.0,ARE
