date,Open,High,Low,Close,Volume,Ticker
2025-07-10,176.67,179.59,175.74,178.7,24693712.0,GOOG
2025-07-11,177.91,182.61,177.5405,181.31,23975714.0,GOOG
2025-07-14,182.07,184.73,180.7109,182.81,20990352.0,GOOG
2025-07-15,183.94,185.41,182.39,183.1,23911567.0,GOOG
2025-07-16,184.32,185.3352,183.08,183.77,21152555.0,GOOG
2025-07-17,183.115,185.1873,181.5,184.7,21654370.0,GOOG
2025-07-18,186.62,187.36,184.73,185.94,21033397.0,GOOG
2025-07-21,187.1,191.26,187.05,191.15,24664994.0,GOOG
2025-07-22,192.42,193.36,188.495,192.11,26212909.0,GOOG
2025-07-23,192.36,193.36,190.18,191.51,34068129.0,GOOG
2025-07-24,198.11,198.97,191.95,193.2,45252060.0,GOOG
2025-07-25,192.93,195.275,192.13,194.08,31101847.0,GOOG
2025-07-28,194.41,194.82,191.855,193.42,25553546.0,GOOG
2025-07-29,193.3,196.66,192.99,196.43,31891598.0,GOOG
2025-07-30,196.3,198.4799,195.56,197.44,21150522.0,GOOG
2025-07-31,196.6,196.83,192.08,192.86,27852019.0,GOOG
2025-08-01,189.78,191.6175,188.7,189.95,21236711.0,GOOG
2025-08-04,191.175,196.08,190.92,195.75,23385950.0,GOOG
2025-08-05,195.545,198.7,194.675,195.32,19010151.0,GOOG
2025-08-06,195.25,197.38,194.4673,196.92,15383679.0,GOOG
2025-08-07,197.71,198.37,195.22,197.28,14660550.0,GOOG
2025-08-08,197.98,203.43,197.9,202.09,24379909.0,GOOG
2025-08-11,201.555,202.16,199.8,201.63,16690235.0,GOOG
2025-08-12,202.095,205.13,201.4,204.16,19871996.0,GOOG
2025-08-13,204.98,205.43,198.64,203.03,19573041.0,GOOG
2025-08-14,202.56,205.42,202.3245,203.82,17777145.0,GOOG
2025-08-15,204.72,207.33,202.085,204.91,21111380.0,GOOG
2025-08-18,205.07,206.14,203.41,204.29,13000162.0,GOOG
2025-08-19,203.905,204.29,200.93,202.49,13476582.0,GOOG
2025-08-20,201.68,202.17,197.46,200.19,13971693.0,GOOG
2025-08-21,200.72,203.36,200.4,200.62,11768910.0,GOOG
