date,Open,High,Low,Close,Volume,Ticker
2025-07-10,175.63,178.429,174.38,177.62,29252386.0,GOOGL
2025-07-11,176.785,181.43,176.48,180.19,34282922.0,GOOGL
2025-07-14,181.01,183.67,179.68,181.56,32536632.0,GOOGL
2025-07-15,182.81,184.22,181.6,182.0,33448251.0,GOOGL
2025-07-16,183.235,184.327,182.03,182.97,33104193.0,GOOGL
2025-07-17,182.14,184.06,180.48,183.58,31992565.0,GOOGL
2025-07-18,185.4,186.42,183.71,185.06,34014509.0,GOOGL
2025-07-21,186.25,190.285,186.15,190.1,45803129.0,GOOGL
2025-07-22,191.495,191.645,187.46,191.34,44660215.0,GOOGL
2025-07-23,191.5,192.53,189.18,190.23,58681948.0,GOOGL
2025-07-24,197.03,197.95,191.0,192.17,74881687.0,GOOGL
2025-07-25,191.98,194.33,191.26,193.18,39785863.0,GOOGL
2025-07-28,193.65,194.05,190.84,192.58,38139504.0,GOOGL
2025-07-29,192.43,195.92,192.08,195.75,41389153.0,GOOGL
2025-07-30,195.6,197.5999,194.685,196.53,32445405.0,GOOGL
2025-07-31,195.71,195.99,191.09,191.9,51329163.0,GOOGL
2025-08-01,189.025,190.83,187.82,189.13,34832181.0,GOOGL
2025-08-04,190.29,195.27,190.12,195.04,31547350.0,GOOGL
2025-08-05,194.71,197.8599,193.885,194.67,31602340.0,GOOGL
2025-08-06,194.5,196.63,193.67,196.09,21562908.0,GOOGL
2025-08-07,197.06,197.54,194.33,196.52,26321811.0,GOOGL
2025-08-08,197.22,202.61,197.17,201.42,39161826.0,GOOGL
2025-08-11,200.935,201.475,199.07,201.0,25832435.0,GOOGL
2025-08-12,201.365,204.5,200.59,203.34,30424452.0,GOOGL
2025-08-13,204.13,204.53,197.5101,201.96,28342922.0,GOOGL
2025-08-14,201.5,204.44,201.225,202.94,25230427.0,GOOGL
2025-08-15,203.85,206.44,201.28,203.9,34931422.0,GOOGL
2025-08-18,204.2,205.265,202.49,203.5,18526594.0,GOOGL
2025-08-19,203.03,203.44,199.96,201.57,24240233.0,GOOGL
2025-08-20,200.73,201.28,196.595,199.32,28955498.0,GOOGL
2025-08-21,199.745,202.48,199.43,199.75,19774633.0,GOOGL
2025-08-22,202.73,208.54,201.3,206.09,42827040.0,GOOGL
2025-08-25,206.43,210.52,205.28,208.49,29928878.0,GOOGL
2025-08-26,207.51,207.85,205.7,207.14,28464130.0,GOOGL
2025-08-27,205.7,208.91,205.65,207.48,23022850.0,GOOGL
2025-08-28,207.25,212.22,206.9,211.64,32339307.0,GOOGL
2025-08-29,210.51,214.645,210.2,212.91,39728364.0,GOOGL
2025-09-02,208.44,211.675,206.195,211.35,47523037.0,GOOGL
2025-09-03,226.21,231.31,224.79,230.66,102090277.0,GOOGL
2025-09-04,229.65,232.37,226.11,232.3,51684167.0,GOOGL
2025-09-05,232.2,235.76,231.9,235.0,46588925.0,GOOGL
2025-09-08,235.47,238.13,233.67,234.04,32474743.0,GOOGL
2025-09-09,234.165,240.47,233.229,239.63,38060959.0,GOOGL
2025-09-10,238.9,241.66,237.85,239.17,35141074.0,GOOGL
2025-09-11,239.88,242.25,236.25,240.37,30599328.0,GOOGL
2025-09-12,240.37,242.075,238.0,240.8,26771610.0,GOOGL
2025-09-15,244.66,252.4099,244.66,251.61,58383796.0,GOOGL
2025-09-16,252.08,253.04,249.47,251.16,34109720.0,GOOGL
2025-09-17,251.22,251.6,246.28,249.53,34107992.0,GOOGL
2025-09-18,251.68,253.99,249.8,252.03,31239474.0,GOOGL
2025-09-19,253.25,256.0,251.81,254.72,55571424.0,GOOGL
2025-09-22,254.43,255.78,250.3,252.53,32290538.0,GOOGL
2025-09-23,253.04,254.36,250.48,251.66,26628016.0,GOOGL
2025-09-24,251.66,252.3501,246.44,247.14,28201003.0,GOOGL
2025-09-25,244.4,246.49,240.74,245.79,31020383.0,GOOGL
2025-09-26,247.065,249.42,245.97,246.54,18503194.0,GOOGL
2025-09-29,247.85,251.1486,242.77,244.05,32505777.0,GOOGL
2025-09-30,242.81,243.29,239.245,243.1,34724346.0,GOOGL
2025-10-01,240.75,246.3,238.61,244.9,31658234.0,GOOGL
2025-10-02,245.15,246.81,242.3,245.69,25483298.0,GOOGL
2025-10-03,244.49,246.3,241.655,245.35,30249559.0,GOOGL
2025-10-06,244.78,251.32,244.58,250.43,28894653.0,GOOGL
2025-10-07,248.27,250.44,245.52,245.76,23181285.0,GOOGL
2025-10-08,244.96,246.005,243.82,244.62,21307104.0,GOOGL
2025-10-09,244.47,244.76,239.15,241.53,27892086.0,GOOGL
2025-10-10,241.43,244.09,235.84,236.57,33180323.0,GOOGL
2025-10-13,240.21,244.5,239.71,244.15,24995028.0,GOOGL
2025-10-14,241.23,247.12,240.51,245.45,22111572.0,GOOGL
2025-10-15,247.245,252.11,245.99,251.03,27007690.0,GOOGL
2025-10-16,251.765,256.96,250.101,251.46,27997159.0,GOOGL
2025-10-17,250.76,254.22,247.81,253.3,29671629.0,GOOGL
2025-10-20,254.69,257.33,254.23,256.55,22350155.0,GOOGL
2025-10-21,254.74,254.88,244.15,250.46,47312098.0,GOOGL
2025-10-22,254.37,256.36,249.29,251.69,35029370.0,GOOGL
2025-10-23,252.98,255.04,251.85,253.08,19901425.0,GOOGL
2025-10-24,256.58,261.68,255.315,259.92,28655126.0,GOOGL
2025-10-27,264.815,270.14,264.28,269.27,35235231.0,GOOGL
2025-10-28,269.69,270.73,266.5,267.47,29738564.0,GOOGL
2025-10-29,267.75,275.336,267.67,274.57,43580277.0,GOOGL
2025-10-30,291.59,291.59,280.06,281.48,74875990.0,GOOGL
2025-10-31,283.21,286.0,277.03,281.19,39267945.0,GOOGL
2025-11-03,282.175,285.53,279.8,283.72,29785996.0,GOOGL
2025-11-04,276.75,281.27,276.26,277.54,30078369.0,GOOGL
2025-11-05,278.87,286.415,277.34,284.31,30283252.0,GOOGL
2025-11-06,285.33,288.35,281.14,284.75,37173648.0,GOOGL
2025-11-07,283.205,283.78,275.19,278.83,34479588.0,GOOGL
2025-11-10,284.42,290.8,282.855,290.1,29557309.0,GOOGL
2025-11-11,287.745,291.915,287.32,291.31,19842136.0,GOOGL
