date,Open,High,Low,Close,Volume,Ticker
2025-07-10,300.05,310.48,300.0,309.87,104365271.0,TSLA
2025-07-11,307.89,314.09,305.65,313.51,79236442.0,TSLA
2025-07-14,317.73,322.5986,312.67,316.9,78043430.0,TSLA
2025-07-15,319.675,321.2,310.5,310.78,77556346.0,TSLA
2025-07-16,312.8,323.5,312.62,321.67,97284786.0,TSLA
2025-07-17,323.15,324.34,317.0601,319.41,73922870.0,TSLA
2025-07-18,321.66,330.9,321.42,329.65,94254993.0,TSLA
2025-07-21,334.4,338.0,326.88,328.49,75768797.0,TSLA
2025-07-22,329.74,335.4098,321.55,332.11,77370371.0,TSLA
2025-07-23,330.9,336.2,328.67,332.56,92553756.0,TSLA
2025-07-24,310.0,310.15,300.41,305.3,156966023.0,TSLA
2025-07-25,308.74,323.63,308.01,316.06,148227027.0,TSLA
2025-07-28,318.45,330.49,315.69,325.59,112673755.0,TSLA
2025-07-29,325.55,326.25,318.25,321.2,87358861.0,TSLA
2025-07-30,322.18,324.4499,311.6164,319.04,83931942.0,TSLA
2025-07-31,319.605,321.37,306.1,308.27,85270919.0,TSLA
2025-08-01,306.205,309.31,297.82,302.63,89121446.0,TSLA
2025-08-04,309.08,312.1186,303.0001,309.26,78683905.0,TSLA
2025-08-05,308.95,312.4499,305.5,308.72,57961278.0,TSLA
2025-08-06,307.89,320.47,306.9345,319.91,78523579.0,TSLA
2025-08-07,319.79,322.4,316.16,322.27,66658672.0,TSLA
2025-08-08,321.43,335.15,320.98,329.65,91200319.0,TSLA
2025-08-11,335.0,346.64,334.15,339.03,105320174.0,TSLA
2025-08-12,345.0,345.26,332.94,340.84,80690111.0,TSLA
2025-08-13,341.5,348.98,338.2,339.38,67838892.0,TSLA
2025-08-14,335.76,340.4699,330.4,335.58,75000662.0,TSLA
2025-08-15,337.655,339.3,327.02,330.56,74319792.0,TSLA
2025-08-18,329.62,336.27,329.59,335.16,56956552.0,TSLA
2025-08-19,335.79,340.55,327.85,329.31,75956002.0,TSLA
2025-08-20,329.22,331.37,314.6,323.9,77481768.0,TSLA
2025-08-21,322.08,324.9,318.68,320.11,55744445.0,TSLA
2025-08-22,321.66,340.25,319.69,340.01,94016347.0,TSLA
2025-08-25,338.9,349.53,335.03,346.6,86670037.0,TSLA
2025-08-26,344.93,351.9,343.72,351.67,76651550.0,TSLA
2025-08-27,351.94,355.39,349.156,349.6,65519012.0,TSLA
2025-08-28,350.91,353.55,340.26,345.98,67903224.0,TSLA
2025-08-29,347.23,348.7499,331.7,333.87,81145660.0,TSLA
2025-09-02,328.23,333.33,325.6,329.36,58391952.0,TSLA
2025-09-03,335.2,343.33,328.51,334.09,88238894.0,TSLA
2025-09-04,336.15,338.89,331.48,338.53,60711033.0,TSLA
2025-09-05,348.0,355.87,344.6801,350.84,108989785.0,TSLA
